Date,Clicks,Impressions,CTR,Position
2026-06-13,2,289,0.69%,25
2026-06-14,1,217,0.46%,28.2
2026-06-15,1,222,0.45%,16.7
2026-06-16,0,295,0%,19.2
2026-06-17,0,374,0%,27.7
2026-06-18,1,294,0.34%,24.2
2026-06-19,0,219,0%,24
